,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
323,mouzakion,ID,1612591279,-8.4667,140.3333,86.04,72,88,19.55
324,mouzakion,US,1612591322,57.0531,-135.33,35.6,93,90,3.36
325,mouzakion,MG,1612591522,-23.35,47.6,82.22,73,100,7.81
326,mouzakion,KI,1612591522,1.3292,172.9752,82.4,18,75,5.75
327,mouzakion,GL,1612591524,60.7167,-46.0333,14.0,57,0,3.44
328,mouzakion,IN,1612591524,13.1667,80.2667,84.2,45,20,13.8
329,mouzakion,TC,1612591317,21.4612,-71.1419,76.93,85,15,18.41
330,mouzakion,BO,1612591526,-19.8,-63.2167,68.41,62,74,2.37
331,mouzakion,PG,1612591279,-6.2167,155.6333,85.08,67,51,9.46
332,mouzakion,BR,1612591527,-7.0219,-45.4811,73.98,89,100,3.98
333,mouzakion,CA,1612591527,47.5999,-53.2648,34.0,93,90,21.85
334,mouzakion,CA,1612591530,47.8405,-83.4034,7.41,92,100,10.89
335,mouzakion,PK,1612591532,27.1828,68.636,68.0,45,0,5.3
336,mouzakion,US,1612591532,27.0531,-82.4243,66.2,100,1,12.66
337,mouzakion,IS,1612591533,64.2539,-15.2082,36.45,81,100,17.11
338,mouzakion,AU,1612591533,-34.5833,150.8552,77.0,86,88,4.0
339,mouzakion,VE,1612591534,7.7669,-72.225,67.5,78,100,0.36
340,mouzakion,US,1612591423,40.0456,-86.0086,21.0,79,0,1.99
341,mouzakion,RU,1612591535,50.2696,85.6108,29.35,92,96,1.48
342,mouzakion,MA,1612591536,29.5833,-9.5,50.54,71,98,3.09
343,mouzakion,ES,1612591536,41.6096,-4.7969,46.99,100,90,4.61
344,mouzakion,NO,1612591537,70.8578,29.0864,26.35,90,100,19.55
345,mouzakion,ID,1612591537,-0.2202,100.6308,82.51,61,99,3.22
346,mouzakion,ID,1612591540,-2.5333,112.95,94.51,50,95,1.92
347,mouzakion,RU,1612591540,54.7183,135.315,-5.57,86,100,11.34
348,mouzakion,PK,1612591540,33.2558,73.3026,59.0,56,0,3.0
349,mouzakion,NO,1612591541,70.0311,20.9714,31.08,93,100,19.26
350,mouzakion,CN,1612591541,29.9576,122.298,53.35,72,0,6.55
351,mouzakion,RU,1612591541,63.9242,127.4739,-37.5,79,99,0.6
352,mouzakion,RU,1612591542,68.5333,146.4167,-22.25,86,100,4.61
353,mouzakion,SB,1612591542,-10.4544,161.9205,83.1,75,100,7.83
